1295 3 
-4.118676e-001 1.318600e-001 -7.414037e-001 
-2.585676e-001 9.743286e-002 -6.834822e-001 
-8.831614e-002 1.036883e-001 -6.777804e-001 
7.074182e-002 7.036071e-002 -7.062376e-001 
2.247024e-001 9.497029e-002 -6.565482e-001 
5.070641e-001 1.109310e-001 -6.694574e-001 
6.470208e-001 1.576965e-001 -5.801673e-001 
7.830566e-001 4.244833e-002 -6.205001e-001 
-6.670570e-001 2.215857e-001 -7.112909e-001 
-4.998173e-001 2.482534e-001 -6.588186e-001 
-3.313741e-001 2.782599e-001 -7.440778e-001 
-1.916118e-001 2.532703e-001 -6.412536e-001 
6.346242e-004 2.500820e-001 -6.846615e-001 
1.622049e-001 2.441381e-001 -6.506273e-001 
3.474265e-001 2.236285e-001 -6.170496e-001 
4.244771e-001 2.528956e-001 -7.294068e-001 
5.275699e-001 2.911798e-001 -6.068489e-001 
7.143960e-001 3.154405e-001 -6.246084e-001 
-6.271077e-001 3.838080e-001 -6.778107e-001 
-5.027359e-001 4.115434e-001 -7.601899e-001 
-3.929724e-001 3.963484e-001 -6.432758e-001 
-2.212158e-001 4.148341e-001 -7.251272e-001 
-1.860457e-002 4.459234e-001 -7.443484e-001 
1.549167e-001 4.294084e-001 -7.085382e-001 
2.914500e-001 3.701417e-001 -7.256634e-001 
4.181689e-001 5.149779e-001 -7.482864e-001 
5.842082e-001 4.329000e-001 -6.865117e-001 
-5.288150e-001 5.504819e-001 -6.460065e-001 
-3.851594e-001 5.559018e-001 -7.366311e-001 
-2.723518e-001 5.300378e-001 -6.290138e-001 
-1.130210e-001 5.636692e-001 -6.432819e-001 
7.414683e-002 5.635543e-001 -6.417173e-001 
2.653925e-001 5.228297e-001 -6.215584e-001 
3.775566e-001 6.563594e-001 -6.531794e-001 
5.363488e-001 5.728891e-001 -6.197806e-001 
-2.462783e-001 6.755587e-001 -6.949586e-001 
-1.192683e-001 7.580964e-001 -6.411435e-001 
5.384047e-002 7.280494e-001 -6.834071e-001 
2.165230e-001 6.966563e-001 -6.839501e-001 
-3.674786e-001 -7.675747e-001 -5.251558e-001 
-2.192709e-001 -8.387548e-001 -4.984082e-001 
-6.093121e-002 -8.879290e-001 -4.559271e-001 
8.785089e-002 -8.671956e-001 -4.901572e-001 
2.362981e-001 -8.122080e-001 -5.333680e-001 
-5.248343e-001 -6.755951e-001 -5.178033e-001 
-3.837057e-001 -5.971932e-001 -4.987409e-001 
-2.152471e-001 -6.537610e-001 -5.080630e-001 
-6.654035e-002 -8.036984e-001 -5.913048e-001 
7.883565e-002 -7.061709e-001 -5.079899e-001 
2.243144e-001 -6.278179e-001 -5.185451e-001 
3.838395e-001 -7.414826e-001 -5.503370e-001 
5.318465e-001 -6.515421e-001 -5.409548e-001 
-6.717119e-001 -5.353611e-001 -5.120464e-001 
-5.385549e-001 -5.590691e-001 -6.303970e-001 
-3.982908e-001 -4.173382e-001 -4.171728e-001 
-2.621077e-001 -4.899919e-001 -4.863943e-001 
-1.006626e-001 -4.959003e-001 -5.081944e-001 
6.322774e-002 -5.142195e-001 -5.129943e-001 
2.560687e-001 -4.606031e-001 -5.002319e-001 
3.893386e-001 -5.543924e-001 -5.309683e-001 
5.166578e-001 -4.689260e-001 -4.860326e-001 
6.705984e-001 -5.372306e-001 -5.115477e-001 
-7.853061e-001 -3.557740e-001 -5.066747e-001 
-6.574652e-001 -3.704634e-001 -4.362840e-001 
-5.206684e-001 -3.791706e-001 -5.376215e-001 
-3.341060e-001 -3.231689e-001 -5.149964e-001 
-1.835350e-001 -3.699391e-001 -5.800956e-001 
-2.233963e-002 -3.394372e-001 -4.608180e-001 
1.372720e-001 -3.770347e-001 -5.897288e-001 
2.820737e-001 -3.097432e-001 -5.770947e-001 
4.109004e-001 -3.336253e-001 -4.753254e-001 
5.325538e-001 -3.116139e-001 -5.889302e-001 
6.767201e-001 -4.064126e-001 -6.139045e-001 
-7.389043e-001 -2.311126e-001 -6.329355e-001 
-6.005568e-001 -2.362376e-001 -5.341806e-001 
-4.778932e-001 -2.265272e-001 -4.234531e-001 
-4.096977e-001 -1.916703e-001 -5.681919e-001 
-1.676062e-001 -2.528889e-001 -4.864162e-001 
-3.786210e-002 -1.640057e-001 -5.618815e-001 
1.107481e-001 -2.392903e-001 -5.117554e-001 
2.361412e-001 -1.430278e-001 -4.780571e-001 
3.855233e-001 -1.823809e-001 -5.687955e-001 
5.225168e-001 -1.847489e-001 -4.529918e-001 
6.726812e-001 -1.557823e-001 -5.108161e-001 
7.928367e-001 -2.695421e-001 -5.465868e-001 
-8.028744e-001 -9.084037e-002 -5.891864e-001 
-6.595250e-001 -7.388903e-002 -5.642729e-001 
-4.912566e-001 -5.614093e-002 -5.216280e-001 
-3.189236e-001 -4.506665e-002 -5.001658e-001 
-1.758812e-001 -4.884377e-002 -6.423985e-001 
-4.187560e-002 1.370691e-002 -5.230418e-001 
1.113295e-001 -6.251174e-002 -5.971043e-001 
2.254271e-001 3.436600e-002 -4.952957e-001 
3.919271e-001 -4.401007e-002 -5.061653e-001 
5.438621e-001 -3.626169e-003 -5.026979e-001 
7.161514e-001 1.191672e-002 -4.795932e-001 
8.603765e-001 -9.731758e-002 -5.002814e-001 
-8.579023e-001 3.754971e-002 -5.124390e-001 
-6.699542e-001 6.496986e-002 -5.051261e-001 
-5.241207e-001 8.320980e-002 -4.298501e-001 
-4.091370e-001 8.957124e-002 -5.755809e-001 
-2.087071e-001 9.615181e-002 -5.309404e-001 
-7.385569e-002 2.209205e-001 -5.460771e-001 
7.524933e-002 1.251567e-001 -5.563873e-001 
2.465368e-001 1.901883e-001 -4.796803e-001 
3.846195e-001 8.418306e-002 -5.702471e-001 
5.217289e-001 1.603748e-001 -4.850651e-001 
7.119770e-001 1.854404e-001 -4.305492e-001 
8.090794e-001 1.950262e-001 -5.543963e-001 
-7.993608e-001 1.898362e-001 -5.700742e-001 
-6.265652e-001 2.242538e-001 -5.364137e-001 
-4.831495e-001 2.313196e-001 -4.829318e-001 
-3.410258e-001 2.284603e-001 -5.748757e-001 
-2.343912e-001 2.499117e-001 -4.426682e-001 
-8.275668e-002 3.603378e-001 -4.556946e-001 
8.319696e-002 2.778787e-001 -4.761277e-001 
2.435423e-001 3.469828e-001 -5.560715e-001 
4.155769e-001 2.891398e-001 -4.758918e-001 
6.177417e-001 3.195609e-001 -4.720371e-001 
8.034955e-001 3.589447e-001 -4.749250e-001 
-7.394769e-001 3.510303e-001 -5.744142e-001 
-5.319217e-001 3.905232e-001 -5.490006e-001 
-3.840378e-001 3.622153e-001 -4.581591e-001 
-2.528861e-001 3.874556e-001 -5.340673e-001 
-1.072085e-001 4.002558e-001 -6.123553e-001 
5.131253e-002 3.755072e-001 -5.920828e-001 
3.257417e-001 4.394796e-001 -4.566906e-001 
4.106017e-001 4.138652e-001 -6.185616e-001 
5.192697e-001 4.474914e-001 -4.943101e-001 
6.884868e-001 4.740289e-001 -5.488921e-001 
-6.606376e-001 5.164891e-001 -5.447907e-001 
-5.319784e-001 5.071744e-001 -4.318579e-001 
-3.916605e-001 5.307266e-001 -5.297577e-001 
-1.881052e-001 5.237311e-001 -4.783823e-001 
-1.430715e-002 5.128826e-001 -4.970910e-001 
1.466937e-001 4.704060e-001 -5.025471e-001 
2.623241e-001 6.276510e-001 -5.053801e-001 
4.159978e-001 5.718139e-001 -5.131953e-001 
6.324711e-001 6.130678e-001 -4.734218e-001 
-5.388027e-001 6.693824e-001 -5.114868e-001 
-3.974278e-001 6.884653e-001 -6.066849e-001 
-2.480091e-001 6.617213e-001 -5.140824e-001 
-5.372186e-002 6.709907e-001 -5.304367e-001 
1.135192e-001 6.616274e-001 -5.186112e-001 
3.396299e-001 7.795253e-001 -5.263001e-001 
4.910139e-001 7.131869e-001 -5.002697e-001 
-2.495204e-001 8.017313e-001 -5.431082e-001 
3.192888e-002 8.258020e-001 -5.630557e-001 
1.932111e-001 8.102452e-001 -5.533283e-001 
1.696346e-002 -9.479096e-001 -3.180876e-001 
-4.794531e-001 -7.870500e-001 -3.881712e-001 
-3.202015e-001 -8.737573e-001 -3.660864e-001 
-1.620285e-001 -9.289119e-001 -3.329707e-001 
4.554900e-002 -7.847592e-001 -3.327391e-001 
1.862200e-001 -9.147105e-001 -3.586457e-001 
3.439398e-001 -8.540726e-001 -3.902119e-001 
4.874283e-001 -7.764697e-001 -3.993852e-001 
-6.411912e-001 -6.615362e-001 -3.889006e-001 
-4.739395e-001 -6.261642e-001 -3.394178e-001 
-3.120594e-001 -7.035325e-001 -3.697128e-001 
-1.531323e-001 -7.561714e-001 -3.691573e-001 
-5.230929e-002 -6.668637e-001 -4.459104e-001 
2.016694e-001 -7.501441e-001 -3.735265e-001 
3.344002e-001 -6.599119e-001 -4.020302e-001 
4.779930e-001 -6.126730e-001 -3.759028e-001 
6.347482e-001 -6.672455e-001 -3.897155e-001 
-7.745317e-001 -5.038729e-001 -3.823777e-001 
-6.187834e-001 -5.020152e-001 -3.138787e-001 
-5.234783e-001 -5.116575e-001 -4.470490e-001 
-3.272975e-001 -5.375060e-001 -3.321463e-001 
-1.713830e-001 -5.641348e-001 -3.486401e-001 
-2.898349e-002 -4.835957e-001 -3.527695e-001 
9.745190e-002 -6.040736e-001 -3.718722e-001 
2.316868e-001 -5.241828e-001 -3.515646e-001 
3.714777e-001 -4.657284e-001 -3.638685e-001 
6.340307e-001 -5.035692e-001 -3.604869e-001 
7.738358e-001 -5.332085e-001 -3.418579e-001 
-8.696196e-001 -3.340115e-001 -3.635906e-001 
-7.190959e-001 -3.587643e-001 -2.785864e-001 
-5.273665e-001 -3.536638e-001 -3.363717e-001 
-3.403760e-001 -3.202554e-001 -3.167572e-001 
-1.999255e-001 -3.858194e-001 -3.783175e-001 
-6.160029e-002 -2.906270e-001 -3.142182e-001 
