1045 3
79 58 73 
58 52 73 
127 113 103 
103 113 90 
103 76 91 
90 76 103 
117 141 127 
117 103 91 
127 103 117 
139 166 151 
139 151 126 
139 127 153 
153 166 139 
126 113 139 
139 113 127 
194 180 167 
153 141 167 
167 180 153 
234 262 247 
252 262 234 
234 222 252 
238 222 209 
209 222 194 
212 197 184 
198 212 184 
184 172 198 
184 155 172 
14 19 6 
6 19 7 
6 3 14 
152 181 168 
168 181 195 
195 181 208 
220 235 208 
208 192 220 
208 181 192 
157 132 144 
144 171 157 
156 171 144 
144 132 119 
183 171 156 
183 168 195 
156 168 183 
199 171 183 
119 94 105 
105 94 82 
82 89 105 
105 89 114 
152 168 140 
140 168 156 
92 80 70 
70 81 92 
92 81 108 
115 134 146 
146 128 115 
158 128 146 
146 173 158 
146 134 159 
159 173 146 
129 116 143 
116 128 143 
143 128 158 
143 155 129 
158 172 143 
172 155 143 
217 189 201 
201 226 217 
217 226 245 
287 310 288 
288 273 287 
310 316 288 
245 273 258 
51 59 38 
51 72 59 
63 72 51 
5 8 16 
5 16 17 
17 4 5 
1 12 9 
1 4 12 
1 9 0 
31 21 40 
30 49 40 
40 21 30 
87 102 111 
87 78 102 
44 35 28 
55 35 44 
43 26 39 
426 401 413 
413 441 426 
385 399 373 
385 401 399 
451 441 465 
464 478 487 
487 465 464 
464 465 441 
417 405 430 
430 405 421 
421 447 430 
430 447 456 
371 333 356 
340 361 356 
356 321 340 
333 321 356 
375 390 404 
404 429 416 
417 429 404 
404 390 417 
330 345 319 
319 302 330 
384 396 369 
421 393 409 
409 396 423 
423 436 409 
409 436 421 
263 279 298 
301 279 260 
280 301 260 
248 235 220 
248 260 279 
248 263 235 
279 263 248 
248 220 232 
232 260 248 
195 208 223 
223 208 235 
213 199 225 
348 361 340 
375 361 348 
362 390 375 
375 348 362 
362 348 336 
336 351 362 
378 390 362 
362 351 378 
289 275 304 
289 302 274 
257 275 272 
272 244 257 
275 289 272 
259 244 272 
272 274 259 
272 289 274 
215 176 190 
190 228 215 
228 244 215 
482 488 503 
482 468 454 
454 467 482 
